OLMTA_V1_CONFIG {"seed": 17, "budget": 50000, "init": 96, "batch": 16, "pool": 60000, "ensemble": 3, "opt_gpu": 0, "eval_gpus": [0, 1], "eval_workers_per_gpu": 4, "initial_network": "immutable original OPTv1"}
/var/lib/cots-lamcts/jobs/olmta-v1-meta50k-run002b-20260915/src/validation/opt10_pretrain_completion_run.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc=nn.TransformerEncoder(el,layers,norm=nn.LayerNorm(d));self.recon=nn.Linear(d,B.FIELDS)
OPTV1_INIT [{"seed": 17, "path": "/var/lib/cots-lamcts/checkpoints/opt10_completion_v1/mlm_contrast_base_seed17.pt", "sha256": "3ff998fcb953182f5cbc98046a017e727f15a43aaac806277af9d12e19dd6cd2"}, {"seed": 43, "path": "/var/lib/cots-lamcts/checkpoints/opt10_completion_v1/mlm_contrast_base_seed43.pt", "sha256": "0065e3f58242468d4188166d7b073b2690647c4458beb846cab8a0bad92f2e84"}, {"seed": 89, "path": "/var/lib/cots-lamcts/checkpoints/opt10_completion_v1/mlm_contrast_base_seed89.pt", "sha256": "2d985995a80e1a95360d3f623e479905e2c0ec262f3dbef8ceba48e4080816c8"}]
Q init-s17 0 (53, 60, 7, 11) 155.62744057006842 gpu cache
Q init-s17 1 (32, 40, 54, 26) 163.30471620742955 gpu cache
Q init-s17 2 (2, 15, 32, 27) 2391.8522247719043 gpu cache
Q init-s17 3 (65, 30, 45, 44) 97.14363205201201 gpu cache
Q init-s17 4 (6, 53, 3, 1) 36.23452497038776 gpu cache
Q init-s17 5 (42, 18, 26, 43) 198.2346101031899 gpu cache
Q init-s17 6 (11, 6, 50, 71) 42.7497238476047 gpu cache
Q init-s17 7 (49, 59, 29, 2) 104.68014810785999 gpu cache
Q init-s17 8 (46, 40, 53, 43) 116.60513415799379 gpu cache
Q init-s17 9 (35, 0, 50, 12) 322.6326091465428 gpu cache
Q init-s17 10 (34, 11, 41, 33) 60.37343003231818 gpu cache
Q init-s17 11 (29, 40, 10, 32) 74.8787072914369 gpu cache
Q init-s17 12 (51, 66, 15, 58) 108.97525436329202 gpu cache
Q init-s17 13 (24, 28, 58, 14) 43.64706233648576 gpu cache
Q init-s17 14 (17, 25, 46, 62) 84.73782064136219 gpu cache
Q init-s17 15 (19, 25, 61, 71) 39.16483588653191 gpu cache
Q init-s17 16 (56, 40, 58, 17) 103.65800211583569 gpu cache
Q init-s17 17 (11, 47, 17, 47) 66.10315173739521 gpu cache
Q init-s17 18 (16, 37, 59, 20) 131.37266054318187 gpu cache
Q init-s17 19 (40, 45, 15, 34) 229.19553525117652 gpu cache
Q init-s17 20 (53, 47, 48, 39) 79.69042640194384 gpu cache
Q init-s17 21 (66, 8, 36, 65) 60.0101904711403 gpu cache
Q init-s17 22 (30, 1, 70, 22) 96.68905728209786 gpu cache
Q init-s17 23 (3, 12, 68, 24) 156.10170186265998 gpu cache
Q init-s17 24 (0, 44, 3, 39) 76.27408426546016 gpu cache
Q init-s17 25 (44, 51, 7, 35) 1745.8578636937568 gpu cache
Q init-s17 26 (37, 60, 0, 25) 51.145393507191706 gpu cache
Q init-s17 27 (29, 39, 56, 36) 41.73341873518222 gpu cache
Q init-s17 28 (54, 1, 21, 16) 136.99068040534024 gpu cache
Q init-s17 29 (42, 6, 25, 17) 53.058261761917926 gpu cache
Q init-s17 30 (67, 0, 47, 21) 44.872344808827215 gpu cache
Q init-s17 31 (62, 26, 0, 46) 65.34830322308629 gpu cache
Q init-s17 32 (12, 60, 61, 29) 190.15421973813224 gpu cache
Q init-s17 33 (32, 45, 17, 37) 45.285825068809736 gpu cache
